algorithm,n_samples,n_features,time_ms,metric_name,metric_value,device
AdamW,512,32,2.768308,Accuracy,100.000000,CPU
AdamW,512,32,2.768308,BCE_Loss,0.018312,CPU
Nadam,512,32,3.028354,Accuracy,100.000000,CPU
Nadam,512,32,3.028354,BCE_Loss,0.018090,CPU
RMSProp,512,32,2.563900,Accuracy,100.000000,CPU
RMSProp,512,32,2.563900,BCE_Loss,0.000000,CPU
SGD_Nesterov,512,32,2.200367,Accuracy,100.000000,CPU
SGD_Nesterov,512,32,2.200367,BCE_Loss,0.000762,CPU
SGDR,512,32,2.593956,Accuracy,100.000000,CPU
SGDR,512,32,2.593956,BCE_Loss,0.002357,CPU
LBFGS,512,32,1.806056,Accuracy,100.000000,CPU
LBFGS,512,32,1.806056,BCE_Loss,0.000018,CPU
GMM_EM,512,32,53.520222,LogLikelihood,-45.492393,CPU
KernelPCA,512,32,2.894440,VarExplained,222.868896,CPU
MLP_AdamW,512,32,236.097403,Accuracy,100.000000,CPU
MLP_AdamW,512,32,236.097403,CE_Loss,0.000470,CPU
RandomForest,512,32,65.969651,Accuracy,100.000000,CPU
RandomForest,512,32,65.969651,OOB_Accuracy,100.000000,CPU
AdamW,1024,32,7.854220,Accuracy,100.000000,CPU
AdamW,1024,32,7.854220,BCE_Loss,0.007625,CPU
Nadam,1024,32,7.241683,Accuracy,100.000000,CPU
Nadam,1024,32,7.241683,BCE_Loss,0.007444,CPU
RMSProp,1024,32,6.469043,Accuracy,100.000000,CPU
RMSProp,1024,32,6.469043,BCE_Loss,0.000000,CPU
SGD_Nesterov,1024,32,5.225250,Accuracy,100.000000,CPU
SGD_Nesterov,1024,32,5.225250,BCE_Loss,0.000815,CPU
SGDR,1024,32,4.583743,Accuracy,100.000000,CPU
SGDR,1024,32,4.583743,BCE_Loss,0.001772,CPU
LBFGS,1024,32,41.171406,Accuracy,100.000000,CPU
LBFGS,1024,32,41.171406,BCE_Loss,0.000006,CPU
GMM_EM,1024,32,80.940886,LogLikelihood,-39.587732,CPU
KernelPCA,1024,32,3.808577,VarExplained,589.333374,CPU
MLP_AdamW,1024,32,437.206483,Accuracy,100.000000,CPU
MLP_AdamW,1024,32,437.206483,CE_Loss,0.000126,CPU
RandomForest,1024,32,206.317306,Accuracy,100.000000,CPU
RandomForest,1024,32,206.317306,OOB_Accuracy,100.000000,CPU
AdamW,2048,32,12.145179,Accuracy,100.000000,CPU
AdamW,2048,32,12.145179,BCE_Loss,0.001886,CPU
Nadam,2048,32,10.839753,Accuracy,100.000000,CPU
Nadam,2048,32,10.839753,BCE_Loss,0.001809,CPU
RMSProp,2048,32,9.952078,Accuracy,100.000000,CPU
RMSProp,2048,32,9.952078,BCE_Loss,0.000000,CPU
SGD_Nesterov,2048,32,11.078687,Accuracy,100.000000,CPU
SGD_Nesterov,2048,32,11.078687,BCE_Loss,0.000262,CPU
SGDR,2048,32,11.189638,Accuracy,100.000000,CPU
SGDR,2048,32,11.189638,BCE_Loss,0.000564,CPU
LBFGS,2048,32,0.385143,Accuracy,100.000000,CPU
LBFGS,2048,32,0.385143,BCE_Loss,0.000001,CPU
GMM_EM,2048,32,152.872965,LogLikelihood,-39.583548,CPU
KernelPCA,2048,32,9.244697,VarExplained,1275.027100,CPU
MLP_AdamW,2048,32,812.371611,Accuracy,100.000000,CPU
MLP_AdamW,2048,32,812.371611,CE_Loss,0.000011,CPU
RandomForest,2048,32,783.473843,Accuracy,100.000000,CPU
RandomForest,2048,32,783.473843,OOB_Accuracy,99.951148,CPU
AdamW,4096,32,23.784004,Accuracy,100.000000,CPU
AdamW,4096,32,23.784004,BCE_Loss,0.000537,CPU
Nadam,4096,32,22.230776,Accuracy,100.000000,CPU
Nadam,4096,32,22.230776,BCE_Loss,0.000498,CPU
RMSProp,4096,32,22.056228,Accuracy,100.000000,CPU
RMSProp,4096,32,22.056228,BCE_Loss,0.000000,CPU
SGD_Nesterov,4096,32,22.789366,Accuracy,100.000000,CPU
SGD_Nesterov,4096,32,22.789366,BCE_Loss,0.000184,CPU
SGDR,4096,32,22.780021,Accuracy,100.000000,CPU
SGDR,4096,32,22.780021,BCE_Loss,0.000342,CPU
LBFGS,4096,32,16.016361,Accuracy,100.000000,CPU
LBFGS,4096,32,16.016361,BCE_Loss,0.000007,CPU
GMM_EM,4096,32,293.063520,LogLikelihood,-39.662981,CPU
KernelPCA,4096,32,21.030509,VarExplained,2431.123779,CPU
MLP_AdamW,4096,32,1673.846434,Accuracy,100.000000,CPU
MLP_AdamW,4096,32,1673.846434,CE_Loss,0.000007,CPU
RandomForest,4096,32,3233.816091,Accuracy,100.000000,CPU
RandomForest,4096,32,3233.816091,OOB_Accuracy,99.975580,CPU
AdamW,8192,32,53.119955,Accuracy,100.000000,CPU
AdamW,8192,32,53.119955,BCE_Loss,0.000058,CPU
Nadam,8192,32,49.878192,Accuracy,100.000000,CPU
Nadam,8192,32,49.878192,BCE_Loss,0.000050,CPU
RMSProp,8192,32,49.251967,Accuracy,100.000000,CPU
RMSProp,8192,32,49.251967,BCE_Loss,0.000000,CPU
SGD_Nesterov,8192,32,51.079763,Accuracy,100.000000,CPU
SGD_Nesterov,8192,32,51.079763,BCE_Loss,0.000057,CPU
SGDR,8192,32,48.986052,Accuracy,100.000000,CPU
SGDR,8192,32,48.986052,BCE_Loss,0.000109,CPU
LBFGS,8192,32,1.332138,Accuracy,100.000000,CPU
LBFGS,8192,32,1.332138,BCE_Loss,0.000000,CPU
GMM_EM,8192,32,640.918186,LogLikelihood,-39.664623,CPU
KernelPCA,8192,32,52.034659,VarExplained,4166.261719,CPU
MLP_AdamW,8192,32,4147.982871,Accuracy,100.000000,CPU
MLP_AdamW,8192,32,4147.982871,CE_Loss,0.000000,CPU
RandomForest,8192,32,3843.740104,Accuracy,100.000000,CPU
RandomForest,8192,32,3843.740104,OOB_Accuracy,100.000000,CPU
AdamW,16384,32,249.267919,Accuracy,100.000000,CPU
AdamW,16384,32,249.267919,BCE_Loss,0.000003,CPU
Nadam,16384,32,286.240850,Accuracy,100.000000,CPU
Nadam,16384,32,286.240850,BCE_Loss,0.000003,CPU
RMSProp,16384,32,280.258295,Accuracy,100.000000,CPU
RMSProp,16384,32,280.258295,BCE_Loss,0.000000,CPU
SGD_Nesterov,16384,32,275.819665,Accuracy,100.000000,CPU
SGD_Nesterov,16384,32,275.819665,BCE_Loss,0.000071,CPU
SGDR,16384,32,224.166334,Accuracy,100.000000,CPU
SGDR,16384,32,224.166334,BCE_Loss,0.000121,CPU
LBFGS,16384,32,823.988038,Accuracy,100.000000,CPU
LBFGS,16384,32,823.988038,BCE_Loss,0.000003,CPU
GMM_EM,16384,32,1945.720817,LogLikelihood,-39.680535,CPU
KernelPCA,16384,32,298.403157,VarExplained,6330.787109,CPU
MLP_AdamW,16384,32,8434.242908,Accuracy,100.000000,CPU
MLP_AdamW,16384,32,8434.242908,CE_Loss,0.000000,CPU
RandomForest,16384,32,3985.346032,Accuracy,100.000000,CPU
RandomForest,16384,32,3985.346032,OOB_Accuracy,100.000000,CPU
AdamW,512,32,2.7283,Accuracy,100.000000,CUDA
AdamW,512,32,2.732,BCE_Loss,0.018312,CUDA
Nadam,512,32,3.3004,Accuracy,100.000000,CUDA
Nadam,512,32,3.1786,BCE_Loss,0.018090,CUDA
RMSProp,512,32,2.8182,Accuracy,100.000000,CUDA
RMSProp,512,32,3.0557,BCE_Loss,0.000000,CUDA
SGD_Nesterov,512,32,2.7467,Accuracy,100.000000,CUDA
SGD_Nesterov,512,32,2.8428,BCE_Loss,0.000762,CUDA
SGDR,512,32,3.669,Accuracy,100.000000,CUDA
SGDR,512,32,3.5957,BCE_Loss,0.002357,CUDA
LBFGS,512,32,2.6433,Accuracy,100.000000,CUDA
LBFGS,512,32,2.5229,BCE_Loss,0.000018,CUDA
GMM_EM,512,32,12.0414,LogLikelihood,-45.492393,CUDA
KernelPCA,512,32,1.2864,VarExplained,222.868896,CUDA
