algorithm,n_samples,n_features,time_ms,metric_name,metric_value,device
AdamW,512,32,2.7283,Accuracy,100.000000,CUDA
AdamW,512,32,2.732,BCE_Loss,0.018312,CUDA
Nadam,512,32,3.3004,Accuracy,100.000000,CUDA
Nadam,512,32,3.1786,BCE_Loss,0.018090,CUDA
RMSProp,512,32,2.8182,Accuracy,100.000000,CUDA
RMSProp,512,32,3.0557,BCE_Loss,0.000000,CUDA
SGD_Nesterov,512,32,2.7467,Accuracy,100.000000,CUDA
SGD_Nesterov,512,32,2.8428,BCE_Loss,0.000762,CUDA
SGDR,512,32,3.669,Accuracy,100.000000,CUDA
SGDR,512,32,3.5957,BCE_Loss,0.002357,CUDA
LBFGS,512,32,2.6433,Accuracy,100.000000,CUDA
LBFGS,512,32,2.5229,BCE_Loss,0.000018,CUDA
GMM_EM,512,32,12.0414,LogLikelihood,-45.492393,CUDA
KernelPCA,512,32,1.2864,VarExplained,222.868896,CUDA
MLP_AdamW,512,32,43.9555,Accuracy,100.000000,CUDA
MLP_AdamW,512,32,44.5807,CE_Loss,0.000470,CUDA
RandomForest,512,32,199.5894,Accuracy,100.000000,CUDA
RandomForest,512,32,177.8308,OOB_Accuracy,100.000000,CUDA
AdamW,1024,32,4.0209,Accuracy,100.000000,CUDA
AdamW,1024,32,4.0514,BCE_Loss,0.007625,CUDA
Nadam,1024,32,4.1057,Accuracy,100.000000,CUDA
Nadam,1024,32,4.5501,BCE_Loss,0.007444,CUDA
RMSProp,1024,32,3.8487,Accuracy,100.000000,CUDA
RMSProp,1024,32,3.6722,BCE_Loss,0.000000,CUDA
SGD_Nesterov,1024,32,3.4007,Accuracy,100.000000,CUDA
SGD_Nesterov,1024,32,3.6307,BCE_Loss,0.000815,CUDA
SGDR,1024,32,3.5056,Accuracy,100.000000,CUDA
SGDR,1024,32,3.5321,BCE_Loss,0.001772,CUDA
LBFGS,1024,32,19.9938,Accuracy,100.000000,CUDA
LBFGS,1024,32,24.0025,BCE_Loss,0.000006,CUDA
GMM_EM,1024,32,11.5183,LogLikelihood,-39.587732,CUDA
KernelPCA,1024,32,1.2702,VarExplained,589.333374,CUDA
MLP_AdamW,1024,32,54.0627,Accuracy,100.000000,CUDA
MLP_AdamW,1024,32,48.5546,CE_Loss,0.000126,CUDA
RandomForest,1024,32,392.0942,Accuracy,100.000000,CUDA
RandomForest,1024,32,316.2925,OOB_Accuracy,100.000000,CUDA
AdamW,2048,32,3.7987,Accuracy,100.000000,CUDA
AdamW,2048,32,4.1887,BCE_Loss,0.001886,CUDA
Nadam,2048,32,3.8098,Accuracy,100.000000,CUDA
Nadam,2048,32,4.1769,BCE_Loss,0.001809,CUDA
RMSProp,2048,32,3.6849,Accuracy,100.000000,CUDA
RMSProp,2048,32,3.7307,BCE_Loss,0.000000,CUDA
SGD_Nesterov,2048,32,4.4698,Accuracy,100.000000,CUDA
SGD_Nesterov,2048,32,4.2847,BCE_Loss,0.000262,CUDA
SGDR,2048,32,4.8693,Accuracy,100.000000,CUDA
SGDR,2048,32,4.9554,BCE_Loss,0.000564,CUDA
LBFGS,2048,32,1.3191,Accuracy,100.000000,CUDA
LBFGS,2048,32,1.3211,BCE_Loss,0.000001,CUDA
GMM_EM,2048,32,16.0885,LogLikelihood,-39.583548,CUDA
KernelPCA,2048,32,1.5487,VarExplained,1275.027100,CUDA
MLP_AdamW,2048,32,59.7265,Accuracy,100.000000,CUDA
MLP_AdamW,2048,32,56.9497,CE_Loss,0.000011,CUDA
RandomForest,2048,32,796.6945,Accuracy,100.000000,CUDA
RandomForest,2048,32,604.2054,OOB_Accuracy,99.951148,CUDA
AdamW,4096,32,5.4149,Accuracy,100.000000,CUDA
AdamW,4096,32,5.5014,BCE_Loss,0.000537,CUDA
Nadam,4096,32,5.1533,Accuracy,100.000000,CUDA
Nadam,4096,32,4.9925,BCE_Loss,0.000498,CUDA
RMSProp,4096,32,5.213,Accuracy,100.000000,CUDA
RMSProp,4096,32,5.1123,BCE_Loss,0.000000,CUDA
SGD_Nesterov,4096,32,5.6235,Accuracy,100.000000,CUDA
