algorithm,n_samples,cpu_ms,cuda_ms,speedup
AdamW,512,2.768,2.728,1.01
AdamW,1024,7.854,4.021,1.95
AdamW,2048,12.145,3.799,3.2
AdamW,4096,23.784,5.415,4.39
AdamW,8192,53.12,8.374,6.34
AdamW,16384,249.268,31.366,7.95
GMM_EM,512,53.52,12.041,4.44
GMM_EM,1024,80.941,11.518,7.03
GMM_EM,2048,152.873,16.088,9.5
GMM_EM,4096,293.064,22.999,12.74
GMM_EM,8192,640.918,44.412,14.43
GMM_EM,16384,1945.721,122.564,15.88
KernelPCA,512,2.894,1.286,2.25
KernelPCA,1024,3.809,1.27,3.0
KernelPCA,2048,9.245,1.549,5.97
KernelPCA,4096,21.031,2.074,10.14
KernelPCA,8192,52.035,3.5,14.87
KernelPCA,16384,298.403,16.152,18.47
LBFGS,512,1.806,2.643,0.68
LBFGS,1024,41.171,19.994,2.06
LBFGS,2048,0.385,1.319,0.29
LBFGS,4096,16.016,4.827,3.32
LBFGS,8192,1.332,1.539,0.87
LBFGS,16384,823.988,134.12,6.14
MLP_AdamW,512,236.097,43.956,5.37
MLP_AdamW,1024,437.206,54.063,8.09
MLP_AdamW,2048,812.372,59.727,13.6
MLP_AdamW,4096,1673.846,91.396,18.31
MLP_AdamW,8192,4147.983,174.93,23.71
MLP_AdamW,16384,8434.243,341.565,24.69
Nadam,512,3.028,3.3,0.92
Nadam,1024,7.242,4.106,1.76
Nadam,2048,10.84,3.81,2.85
Nadam,4096,22.231,5.153,4.31
Nadam,8192,49.878,9.145,5.45
Nadam,16384,286.241,40.302,7.1
RMSProp,512,2.564,2.818,0.91
RMSProp,1024,6.469,3.849,1.68
RMSProp,2048,9.952,3.685,2.7
RMSProp,4096,22.056,5.213,4.23
RMSProp,8192,49.252,8.485,5.8
RMSProp,16384,280.258,39.582,7.08
RandomForest,512,65.97,199.589,0.33
RandomForest,1024,206.317,392.094,0.53
RandomForest,2048,783.474,796.694,0.98
RandomForest,4096,3233.816,1920.632,1.68
RandomForest,8192,3843.74,1717.226,2.24
RandomForest,16384,3985.346,1356.063,2.94
SGDR,512,2.594,3.669,0.71
SGDR,1024,4.584,3.506,1.31
SGDR,2048,11.19,4.869,2.3
SGDR,4096,22.78,7.467,3.05
SGDR,8192,48.986,11.291,4.34
SGDR,16384,224.166,35.206,6.37
SGD_Nesterov,512,2.2,2.747,0.8
SGD_Nesterov,1024,5.225,3.401,1.54
SGD_Nesterov,2048,11.079,4.47,2.48
SGD_Nesterov,4096,22.789,5.623,4.05
SGD_Nesterov,8192,51.08,10.268,4.97
SGD_Nesterov,16384,275.82,41.602,6.63
